nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,sizePron,motVedette,hwd,pronSampa,ipa,PartOfSpeech
3,ăbŏʹlĭſh,L.,,,v.,2.0,20,8,abolish,abolish,@ b A l i S,əbɑliʃ,verb
4,ăbŏʹmĭnāte,L.,,,v.,3.0,20,10,abominate,abominate,@ b A m @ n eI t,əbɑmən?t,verb
6,ăbŏʹmĭnāʹtion,L.,,,n.,4.0,20,13,abomination,abomination,@ b A m @ n eI S @ n,əbɑmən?ʃən,noun
4,ăborīʹgĭnes,L.,,,n.,5.0,20,11,aborigines,aborigines,{ b 3:r I dZ @ n i: z,æbɜ:rɪ?əniːz,noun
4,ăbŏʹrtion,L.,,,n.,6.0,20,9,abortion,abortion,@ b O: r\ S @ n,əbOːɹʃən,noun
3,ăbŏʹrtive,,,,a.,7.0,20,9,abortive,abortive,@ b O: r\ 4 i v,əbOːɹɾiv,adjective
2,ăbȯu̇ʹnd,,,,v.,8.0,20,8,abouond,,,,verb
2,abrĭʹdge,F.,,,v.,9.0,20,8,abridge,abridge,@ b r\ I dZ,əbɹɪ?,verb
3,abrĭʹdgment,F.,,,n.,10.0,20,11,abridgment,,,,noun
2,abroaʹd,,,,a.,11.0,20,7,abroad,abroad,@ b r\ O: d,əbɹOːd,adjective
3,ăʹbrŏgāte,L.,,,v.,12.0,20,9,abrogate,abrogate,{ b r\ @ g eI t,æbɹəg?t,verb
2,ăbrŭpt,L.,nbSyll>1 et pas d'accent tonic,,a.,13.0,20,6,abrupt,abrupt,@ b r\ V p t,əbɹʌpt,adjective
2,ăʹbſcĕſs,L.,,,n.,14.0,20,8,abscess,abscess,{ b s E s,æbsɛs,noun
2,ăbſcŏʹnd,L.,,,v.,15.0,20,8,abscond,,,,verb
2,ăʹbſĕnt,L.,,,v.,16.0,20,7,absent,absent,{ b s @ n t,æbsənt,verb
3,ăbſĕnteeʹ,L.,,,n.,17.0,20,9,absentee,absentee,{ b s @ n t i:,æbsəntiː,noun
2,ăbſŏʹlve,L.,,,v.,18.0,20,8,absolve,absolve,@ b z A l v,əbzɑlv,verb
3,ăʹbſŏlūte,L.,,,a.,19.0,20,9,absolute,absolute,{ b s @ l u t,æbsəlut,adjective
5,ăbſŏlūʹtion,L.,,,n.,20.0,20,11,absolution,absolution,{ b s @ l u S @ n,æbsəluʃən,noun
2,ăbſŏʹrb,L.,,,v.,21.0,20,7,absorb,absorb,@ b z O: r\ b,əbzOːɹb,verb
3,ăbſŏʹrbents,,,,n.,22.0,20,11,absorbents,,,,noun
2,ăbſtaiʹn,L.,,,v.,23.0,20,8,abstain,abstain,@ b s t eI n,əbst?n,verb
4,ăbſtēʹmĭous,L.,,,a.,24.0,20,11,abstemious,,,,adjective
3,ăbſtĕʹrgent,L.,,,n.,25.0,20,11,abstergent,,,,noun
3,ăʹbſtĭnĕnce,L.,,,n.,26.0,20,11,abstinence,abstinence,{ b s t @ n @ n s,æbstənəns,noun
2,ăbſtrăʹct,L.,,,v.,27.0,20,9,abstract,abstract,{ b s t r\ { k t,æbstɹækt,verb
2,ăbſtrūʹſe,L.,,,a.,28.0,20,9,abstruse,abstruse,@ b s t r\ u s,əbstɹus,adjective
2,ăbſŭʹrd,L.,,,a.,29.0,20,7,absurd,absurd,@ b s 3:r d,əbsɜ:rd,adjective
3,abŭʹndănce,,,,n.,30.0,20,10,abundance,abundance,@ b V n d @ n s,əbʌndəns,noun
2,abūʹſe,L.,,,v.,31.0,20,6,abuse,abuse,@ b j u s,əbjus,verb
2,ăbyʹſs,G.,,,n.,32.0,20,6,abyss,abyss,@ b I s,əbɪs,noun
3,ăbyſſīʹnes,,,,n.,33.0,20,10,abyssines,,,,noun
4,ăcăʹdĕmy,G.,,,n.,34.0,20,8,academy,academy,@ k { 4 @ m i:,əkæɾəmiː,noun
5,ăcănāʹce_o_us,G.,,,a.,35.0,20,13,acanaceous,,,,adjective
2,ăccēʹde,L.,,,v.,36.0,20,7,accede,accede,{ k s i: d,æksiːd,verb
4,ăccĕʹlĕrāte,L.,,,v.,37.0,20,11,accelerate,accelerate,{ k s E l 3:r eI t,æksɛlɜ:r?t,verb
2,ăcʹcĕnt,L.,,,n.,38.0,20,7,accent,accent,@ k s E n t,əksɛnt,noun
2,ăccĕʹpt,L.,,,v.,39.0,20,7,accept,accept,{ k s E p t,æksɛpt,verb
4,ăccĕʹptable,,,,a.,40.0,20,11,acceptable,acceptable,{ k s E p t @ b @ l,æksɛptəbəl,adjective
5,ăccĕptāʹtion,L.,,,n.,41.0,20,12,acceptation,,,,noun
2,ăccĕʹſs,L.,,,n.,42.0,20,7,access,access,{ k s E s,æksɛs,noun
4,ăccĕʹſſĭble,,,,a.,43.0,20,11,accessible,accessible,{ k s E s @ b @ l,æksɛsəbəl,adjective
4,ăccĕʹſſion,L.,,,n.,44.0,20,10,accession,accession,@ k s E S @ n,əksɛʃən,noun
4,ăʹccĕſſāry,F.,,,n.,45.0,20,10,accessary,,,,noun
3,ăʹccĭdent,L.,,,n.,46.0,20,9,accident,accident,{ k s @ d @ n t,æksədənt,noun
5,ăcclămāʹtion,L.,,,n.,47.0,20,12,acclamation,,,,noun
3,ăccloʹyed,,,,a.,48.0,20,9,accloyed,,,,adjective
4,ăccŏʹmmodāte,L.,,,v.,49.0,20,12,accommodate,accommodate,@ k A m @ d eI t,əkɑməd?t,verb
4,ăccŏʹmpăny,F.,,,v.,50.0,20,10,accompany,accompany,@ k V m p @ n i:,əkʌmpəniː,verb
3,ăccŏʹmpliſh,F.,,,v.,51.0,20,11,accomplish,accomplish,@ k A m p l i S,əkɑmpliʃ,verb
4,ăccŏʹmplĭſhed,,,,a.,52.0,20,13,accomplished,accomplished,@ k A m p l i S t,əkɑmpliʃt,adjective
3,ăccŏʹmplice,F.,,,n.,53.0,20,11,accomplice,accomplice,@ k A m p l @ s,əkɑmpləs,noun
2,ăccoʹmpt,,,,v.,54.0,20,8,accompt,,,,verb
2,ăccoʹrd,F.,,,v.,55.0,20,7,accord,accord,@ k O: r\ d,əkOːɹd,verb
2,ăccŏʹſt,F.,,,v.,56.0,20,7,accost,accost,@ k O: s t,əkOːst,verb
2,ăccȯu̇ʹnt,F.,,,n.,57.0,20,9,accouont,,,,noun
4,ăccȯu̇ʹntable,,,,a.,58.0,20,13,accouontable,,,,adjective
3,ăccȯu̇ʹntănt,,,,n.,59.0,20,12,accouontant,,,,noun
3,ăccȯu̇ʹtre,F.,,,v.,60.0,20,10,accouotre,,,,verb
4,ăccȯu̇ʹtrements,F.,,,n.,61.0,20,15,accouotrements,,,,noun
2,ăccreʹw,F.,,,v.,62.0,20,7,accrew,,,,verb
4,ăccuʹmūlăte,L.,,,v.,63.0,20,11,accumulate,accumulate,@ k j u m j @ l eI t,əkjumjəl?t,verb
4,ăʹccūracy,L.,,,n.,64.0,20,9,accuracy,accuracy,{ k j 3:r @ s i:,ækjɜ:rəsiː,noun
3,ăccŭʹrſed,,,,a.,65.0,20,9,accursed,accursed,@ k 3:r s t,əkɜ:rst,adjective
2,ăccūʹſe,L.,,,v.,66.0,20,7,accuse,accuse,@ k j u z,əkjuz,verb
5,ăccūſāʹtion,L.,,,n.,67.0,20,11,accusation,accusation,{ k j @ z eI S @ n,ækjəz?ʃən,noun
4,ăccūʹſātive,,,,n.,68.0,20,11,accusative,accusative,@ k j u z @ 4 i v,əkjuzəɾiv,noun
3,ăccŭʹſtom,F.,,,v.,69.0,20,9,accustom,accustom,@ k V s t @ m,əkʌstəm,verb
4,ace˘ʹrbĭty,L.,,,n.,70.0,20,10,acerbity,,,,noun
3,ăc_h_āʹtes,G.,,,n.,71.0,20,10,achates,,,,noun
1,āc_he_,,,,n.,72.0,20,6,ache,ache,eI k,?k,noun
3,ăʹc_h_ĕron,G.,,,n.,73.0,20,10,acheron,,,,noun
2,ăʹcid,L.,,,a.,2.0,21,5,acid,acid,{ s @ d,æsəd,adjective
2,ăʹcids,,,,n.,3.0,21,6,acids,acids,{ s @ d z,æsədz,noun
4,ăc_k_nŏ_w_lĕdgment,,nbSyll>1 et pas d'accent tonic,,n.,4.0,21,18,acknowledgment,acknowledgment,{ k n A l i dZ m @ n t,æknɑli?mənt,noun
3,ăʹconīte,G.,,,n.,5.0,21,8,aconite,,,,noun
2,ăʹcorn,,,,n.,6.0,21,6,acorn,acorn,eI k O: r\ n,?kOːɹn,noun
3,ăcȯu̇ʹſtics,G.,,,n.,7.0,21,11,acouostics,,,,noun
2,ăcquaiʹnt,F.,,,v.,8.0,21,9,acquaint,acquaint,@ k w eI n t,əkw?nt,verb
3,ăcquaĭʹntănce,,,,n.,9.0,21,13,acquaintance,acquaintance,@ k w eI n t @ n s,əkw?ntəns,noun
3,acquĭe˘ʹſ_c__e_,L.,,,v.,10.0,21,15,acquiesce,acquiesce,{ k w i: E s,ækwiːɛs,verb
2,ăcquīʹre,L.,,,v.,11.0,21,8,acquire,acquire,@ k w aI 3:r,əkw?ɜ:r,verb
5,ăcquĭſĭʹtion,L.,,,n.,12.0,21,12,acquisition,acquisition,{ k w @ z I S @ n,ækwəzɪʃən,noun
2,ăcquĭʹſts,,,,n.,13.0,21,9,acquists,,,,noun
2,ăcquĭʹt,F.,,,v.,14.0,21,7,acquit,acquit,@ k w I t,əkwɪt,verb
3,ăcquĭʹttal,F.,,,n.,15.0,21,10,acquittal,acquittal,@ k w I 4 @ l,əkwɪɾəl,noun
3,ăcquĭʹttănce,F.,,,n.,16.0,21,12,acquittance,,,,noun
2,āʹcre,,,,n.,17.0,21,5,acre,acre,eI k 3:r,?kɜ:r,noun
4,ăʹcrĭmony,L.,,,n.,18.0,21,9,acrimony,acrimony,{ k r\ i m @U n i:,ækɹimoʊniː,noun
4,ăcrōʹnical,,,,a.,19.0,21,10,acronical,,,,adjective
3,ăcrŏʹſtic,G.,,,n.,20.0,21,9,acrostic,,,,noun
1,ăct,L.,,,v.,21.0,21,3,act,act,{ k t,ækt,verb
3,ăʹction,L.,,,n.,22.0,21,7,action,action,{ k S @ n,ækʃən,noun
5,ăʹctionable,,,,a.,23.0,21,11,actionable,actionable,{ k S @ n @ b @ l,ækʃənəbəl,adjective
2,ăʹctĭve,L.,,,a.,24.0,21,7,active,active,{ k t i v,æktiv,adjective
4,ăctĭʹvĭty,L.,,,n.,25.0,21,9,activity,activity,{ k t I v @ 4 i:,æktɪvəɾiː,noun
2,ăʹctor,L.,,,n.,26.0,21,6,actor,actor,{ k t 3:r,æktɜ:r,noun
2,ăʹctrĕſs,,,,n.,27.0,21,8,actress,actress,{ k t r\ @ s,æktɹəs,noun
3,ăʹctūal,F.,,,a.,28.0,21,7,actual,actual,{ k tS @ w @ l,æk?əwəl,adjective
4,ăʹctūāry,L.,,,n.,29.0,21,8,actuary,actuary,{ k tS @ w E r\ i:,æk?əwɛɹiː,noun
3,ăʹctūāte,L.,,,v.,30.0,21,8,actuate,actuate,{ k tS u w eI t,æk?uw?t,verb
2,acūʹte,L.,,,a.,31.0,21,6,acute,acute,@ k j u t,əkjut,adjective
2,āʹdāge,L.,,,n.,32.0,21,6,adage,adage,{ 4 @ dZ,æɾə?,noun
4,adāʹgĭo,,,,a.,33.0,21,7,adagio,adagio,@ d A Z i: @U,ədɑʒiːoʊ,adjective
3,ăʹdămant,L.,,,n.,34.0,21,8,adamant,adamant,{ 4 @ m @ n t,æɾəmənt,noun
4,ădămăʹntĭne,L.,,,a.,35.0,21,11,adamantine,,,,adjective
3,aʹdămītes,,,,n.,36.0,21,9,adamites,,,,noun
2,adăʹpt,L.,,,v.,37.0,21,6,adapt,adapt,@ d { p t,ədæpt,verb
3,adăʹpted,,,,v.,38.0,21,8,adapted,adapted,@ d { p t @ d,ədæptəd,verb
2,āʹdar,,,,n.,39.0,21,5,adar,adar,@ d A r\,ədɑɹ,noun
1,ădd,L.,,,v.,40.0,21,3,add,add,{ d,æd,verb
2,ăʹdder,,,,n.,41.0,21,6,adder,adder,{ 4 3:r,æɾɜ:r,noun
2,ăʹddĭce,,,,n.,42.0,21,7,addice,,,,noun
2,ăddĭʹct,L.,,,v.,43.0,21,7,addict,addict,@ d I k t,ədɪkt,verb
4,ăʹddĭtăment,L.,,,n.,44.0,21,11,additament,,,,noun
4,ăddĭʹtion,L.,,,n.,45.0,21,9,addition,addition,@ d I S @ n,ədɪʃən,noun
5,ăddĭʹtional,,,,a.,46.0,21,11,additional,additional,@ d I S @ n @ l,ədɪʃənəl,adjective
2,ăʹddle,,,,a.,47.0,21,6,addle,addle,{ 4 @ l,æɾəl,adjective
2,ăddrĕʹſs,F.,,,n.,48.0,21,8,address,address,{ d r\ E s,ædɹɛs,noun
3,ăddūʹcent,L.,,,a.,49.0,21,9,adducent,,,,adjective
3,ăddŭʹctors,L.,,,n.,50.0,21,10,adductors,,,,noun
3,ăʹdĕquāte,L.,,,a.,51.0,21,9,adequate,adequate,{ 4 @ k w @ t,æɾəkwət,adjective
4,ăʹdĕquāt_e_neſs,,,,n.,52.0,21,15,adequateness,,,,noun
3,ădfĕʹcted,,,,a.,53.0,21,9,adfected,,,,adjective
2,ădhēre,L.,nbSyll>1 et pas d'accent tonic,,v.,54.0,21,6,adhere,adhere,@ d h I r\,ədhɪɹ,verb
3,ădhēʹrĕnce,L.,,,n.,55.0,21,10,adherence,adherence,@ d h I r\ @ n s,ədhɪɹəns,noun
3,ădhēʹrent,L.,,,n.,56.0,21,9,adherent,adherent,@ d h I r\ @ n t,ədhɪɹənt,noun
4,ădhēʹſion,L.,,,n.,57.0,21,9,adhesion,,,,noun
3,ădjāʹcent,L.,,,a.,58.0,21,9,adjacent,adjacent,@ dZ eI s @ n t,ə??sənt,adjective
3,ăʹdjĕctive,L.,,,n.,59.0,21,10,adjective,adjective,{ dZ i k t i v,æ?iktiv,noun
2,adĭeuʹ,F.,,,p.,60.0,21,6,adieu,adieu,@ d u,ədu,pronoun
2,ădjoiʹn,L.,,,v.,61.0,21,7,adjoin,adjoin,@ dZ OI n,ə??n,verb
3,ădj_o_ŭʹrnment,F.,,,n.,62.0,21,14,adjournment,adjournment,@ dZ 3:r n m @ n t,ə?ɜ:rnmənt,noun
2,ădjŭʹdge,L.,,,v.,63.0,21,8,adjudge,adjudge,@ dZ V dZ,ə?ʌ?,verb
6,ădjūdĭcāʹtion,L.,,,n.,64.0,21,13,adjudication,adjudication,@ dZ u 4 @ k eI S @ n,ə?uɾək?ʃən,noun
2,ăʹdjŭnct,L.,,,n.,65.0,21,8,adjunct,adjunct,{ dZ V N k t,æ?ʌŋkt,noun
2,ădjūʹre,L.,,,v.,66.0,21,7,adjure,,,,verb
2,ădjŭʹſt,F.,,,v.,67.0,21,7,adjust,adjust,@ dZ V s t,ə?ʌst,verb
3,ăʹdjūtant,L.,,,n.,68.0,21,9,adjutant,adjutant,{ dZ @ t @ n t,æ?ətənt,noun
4,ădmĭʹnĭſt_e_r,L.,,,v.,69.0,21,13,administer,administer,@ d m I n @ s t 3:r,ədmɪnəstɜ:r,verb
6,ădmĭnĭſtrātion,L.,nbSyll>1 et pas d'accent tonic,,n.,70.0,21,14,administration,administration,{ d m I n i s t r\ eI S @ n,ædmɪnistɹ?ʃən,noun
5,ădmĭnĭſtrāʹtor,,,,n.,71.0,21,14,administrator,administrator,@ d m I n @ s t r\ eI 4 3:r,ədmɪnəstɹ?ɾɜ:r,noun
5,ăʹdmĭnĭſtrāʹtrix,,,,n.,72.0,21,16,administratrix,,,,noun
3,ăʹdmĭrăl,L.,,,n.,73.0,21,8,admiral,admiral,{ d m 3:r @ l,ædmɜ:rəl,noun
4,ăʹdmĭrălty,,,,n.,2.0,22,10,admiralty,admiralty,{ d m 3:r @ l t i:,ædmɜ:rəltiː,noun
5,ădmĭrāʹtion,L.,,,n.,3.0,22,11,admiration,admiration,{ d m 3:r eI S @ n,ædmɜ:r?ʃən,noun
2,ădmīʹre,L.,,,v.,4.0,22,7,admire,admire,{ d m aI r\,ædm?ɹ,verb
3,ădmĭʹttănce,L.,,,n.,5.0,22,11,admittance,admittance,@ d m I t @ n s,ədmɪtəns,noun
2,ădmĭʹt,L.,,,v.,6.0,22,6,admit,admit,@ d m I t,ədmɪt,verb
3,ădmŏʹnĭſh,L.,,,v.,7.0,22,9,admonish,admonish,{ d m A n i S,ædmɑniʃ,verb
5,ădmŏnĭʹtion,L.,,,n.,8.0,22,11,admonition,admonition,{ d m @ n I S @ n,ædmənɪʃən,noun
4,ădŏlĕʹſcĕnce,L.,,,n.,9.0,22,12,adolescence,adolescence,{ 4 @ l E s @ n s,æɾəlɛsəns,noun
4,ădŏʹption,L.,,,n.,10.0,22,9,adoption,adoption,@ d A p S @ n,ədɑpʃən,noun
4,ădōʹrable,,,,a.,11.0,22,9,adorable,adorable,@ d O: r\ @ b @ l,ədOːɹəbəl,adjective
2,ădōʹre,L.,,,v.,12.0,22,6,adore,adore,@ d O: r\,ədOːɹ,verb
2,ădŏʹrn,L.,,,v.,13.0,22,6,adorn,adorn,@ d O: r\ n,ədOːɹn,verb
2,ădroiʹt,F.,,,a.,14.0,22,7,adroit,adroit,@ d r\ OI t,ədɹ?t,adjective
5,ădſcĭtĭʹti_o_us,L.,,,a.,15.0,22,15,adscititious,,,,adjective
2,ădvăʹnce,F.,,,v.,16.0,22,8,advance,advance,@ d v { n s,ədvæns,verb
3,ădvăʹnc_e_ment,F.,,,n.,17.0,22,14,advancement,advancement,@ d v { n s m @ n t,ədvænsmənt,noun
3,ădvăʹntage,F.,,,n.,18.0,22,10,advantage,advantage,{ d v { n t i dZ,ædvænti?,noun
2,ăʹdvĕnt,L.,,,n.,19.0,22,7,advent,advent,{ d v E n t,ædvɛnt,noun
5,ădvĕntĭʹti_o_us,L.,,,a.,20.0,22,15,adventitious,,,,adjective
3,ădvĕʹntŭre,F.,,,n.,21.0,22,10,adventure,adventure,{ d v E n tS 3:r,ædvɛn?ɜ:r,noun
4,ădvĕʹntŭr_o_us,,,,a.,22.0,22,14,adventurous,adventurous,{ d v E n tS 3:r @ s,ædvɛn?ɜ:rəs,adjective
2,ăʹdverb,L.,,,n.,23.0,22,7,adverb,adverb,{ d v 3:r b,ædvɜ:rb,noun
4,ăʹdvĕrſăry,L.,,,n.,24.0,22,10,adversary,adversary,{ d v 3:r s E r\ i:,ædvɜ:rsɛɹiː,noun
2,ăʹdvĕrſe,L.,,,a.,25.0,22,8,adverse,adverse,{ d v 3:r s,ædvɜ:rs,adjective
4,ădvĕʹrſity,L.,,,n.,26.0,22,10,adversity,adversity,{ d v 3:r s i 4 i:,ædvɜ:rsiɾiː,noun
2,ădvĕʹrt,L.,,,v.,27.0,22,7,advert,,,,verb
4,ădvĕʹrtĕncy,,,,n.,28.0,22,11,advertency,,,,noun
3,ădvĕrtĭʹſe,L.,,,v.,29.0,22,10,advertise,advertise,{ d v 3:r t aI z,ædvɜ:rt?z,verb
2,ădvīʹce,F.,,,n.,30.0,22,7,advice,advice,{ d v aI s,ædv?s,noun
2,ădvīʹſe,,,,v.,31.0,22,7,advise,advise,{ d v aI z,ædv?z,verb
5,ădūlāʹtion,L.,,,n.,32.0,22,10,adulation,adulation,{ dZ @ l eI S @ n,æ?əl?ʃən,noun
5,ăʹdūlătory,L.,,,a.,33.0,22,10,adulatory,,,,adjective
2,adŭʹlt,L.,,,a.,34.0,22,6,adult,adult,@ d V l t,ədʌlt,adjective
4,adŭʹlte˘rāte,L.,,,v.,35.0,22,12,adulterate,adulterate,@ d V l t 3:r eI t,ədʌltɜ:r?t,verb
4,adŭʹlte˘rer,,,,n.,36.0,22,11,adulterer,adulterer,@ d V l t 3:r 3:r,ədʌltɜ:rɜ:r,noun
4,adŭʹlte˘reſs,,,,n.,37.0,22,12,adulteress,,,,noun
4,adŭʹlte˘ry,L.,,,n.,38.0,22,10,adultery,adultery,@ d V l t 3:r i:,ədʌltɜ:riː,noun
3,ăʹdvŏcāte,L.,,,n.,39.0,22,9,advocate,advocate,{ d v @ k @ t,ædvəkət,noun
3,adʹvȯẇeeʹ,F.,,,n.,40.0,22,9,advowee,,,,noun
3,ădvȯẇſon,,nbSyll>1 et pas d'accent tonic,,n.,41.0,22,8,advowson,,,,noun
2,ădŭʹſt,L.,,,a.,42.0,22,6,adust,,,,adjective
4,ădŭʹſtĭble,,,,a.,43.0,22,10,adustible,,,,adjective
3,ăʹdy̆tum,G.,,,n.,44.0,22,8,adyotum,,,,noun
3,ænĭʹgma,,,,n.,45.0,22,7,ænigma,,,,noun
4,āe˘ʹrĭal,G.,,,a.,46.0,22,8,aerial,aerial,E r\ i: @ l,ɛɹiːəl,adjective
4,æthe˘ʹrĭal,G.,,,a.,47.0,22,10,ætherial,,,,adjective
5,ăffăbĭʹlĭty,L.,,,n.,48.0,22,11,affability,,,,noun
2,ăffaiʹr,F.,,,n.,49.0,22,7,affair,affair,@ f E r\,əfɛɹ,noun
2,affe˘ʹct,L.,,,v.,50.0,22,8,affect,affect,@ f E k t,əfɛkt,verb
5,ăffĕctāʹtion,L.,,,n.,51.0,22,12,affectation,affectation,{ f E k t eI S @ n,æfɛkt?ʃən,noun
3,ăffĕʹcted,,,,a.,52.0,22,9,affected,affected,@ f E k t @ d,əfɛktəd,adjective
4,ăffĕʹction,L.,,,n.,53.0,22,10,affection,affection,@ f E k S @ n,əfɛkʃən,noun
5,ăffĕʹctionāte,,,,a.,54.0,22,13,affectionate,affectionate,@ f E k S @ n @ t,əfɛkʃənət,adjective
3,ăffĕʹtto,,,,a.,55.0,22,8,affetto,,,,adjective
3,ăffiʹănce,L.,,,n.,56.0,22,9,affiance,,,,noun
4,ăffĭdāʹvit,,,,n.,57.0,22,10,affidavit,affidavit,{ f @ d eI v @ t,æfəd?vət,noun
4,ăffĭʹnĭʹty,L.,,,n.,58.0,22,10,affinity,affinity,@ f I n @ 4 i:,əfɪnəɾiː,noun
2,ăffĭrm,L.,nbSyll>1 et pas d'accent tonic,,v.,59.0,22,6,affirm,affirm,@ f 3:r m,əfɜ:rm,verb
5,ăffĭrmāʹtion,L.,,,n.,60.0,22,12,affirmation,affirmation,{ f 3:r m eI S @ n,æfɜ:rm?ʃən,noun
4,ăffĭʹrmătive,L.,,,a.,61.0,22,12,affirmative,affirmative,@ f 3:r m @ 4 i v,əfɜ:rməɾiv,adjective
2,affĭʹx,L.,,,v.,62.0,22,6,affix,affix,{ f i k s,æfiks,verb
4,ăfflāʹtion,L.,,,n.,63.0,22,10,afflation,,,,noun
2,ăfflĭʹct,L.,,,v.,64.0,22,8,afflict,afflict,@ f l I k t,əflɪkt,verb
4,ăfflĭʹction,L.,,,n.,65.0,22,11,affliction,affliction,@ f l I k S @ n,əflɪkʃən,noun
3,ăfflĭʹctive,,,,a.,66.0,22,11,afflictive,,,,adjective
3,ăfflūĕnce,L.,nbSyll>1 et pas d'accent tonic,,n.,67.0,22,9,affluence,affluence,{ f l u @ n s,æfluəns,noun
3,ăʹfflūĕnt,L.,,,a.,68.0,22,9,affluent,affluent,{ f l u @ n t,æfluənt,adjective
2,ăʹfflŭx,L.,,,n.,69.0,22,7,afflux,,,,noun
2,ăffoʹrd,,,,v.,70.0,22,7,afford,afford,@ f O: r\ d,əfOːɹd,verb
2,ăffraiʹd,,,,v.,71.0,22,8,affraid,,,,verb
2,ăffraʹy,F.,,,n.,72.0,22,7,affray,,,,noun
3,ăʹfrĭcā,,,,n.,73.0,22,7,africa,africa,{ f r\ @ k @,æfɹəkə,noun
2,affrīʹ_gh_t,,,,v.,2.0,23,11,affright,,,,verb
2,ăffrŏʹnt,F.,,,v.,3.0,23,8,affront,affront,@ f r\ V n t,əfɹʌnt,verb
3,ăffrŏʹntive,,,,a.,4.0,23,11,affrontive,,,,adjective
4,ăffūʹſion,L.,,,n.,5.0,23,9,affusion,,,,noun
1,ăft,,,,p.,6.0,23,3,aft,aft,{ f t,æft,pronoun
2,ăʹft_e_r,,,,p.,7.0,23,8,after,after,{ f t 3:r,æftɜ:r,pronoun
3,ăfternooʹn,,,,n.,8.0,23,10,afternoon,afternoon,{ f t 3:r n u n,æftɜ:rnun,noun
2,āʹgā,,,,n.,9.0,23,4,aga,aga,A g @,ɑgə,noun
